Resistance,Best_R_hidden_Ohm,R_hidden_5pct_low,R_hidden_5pct_high,R_hidden_10pct_low,R_hidden_10pct_high,Best_L_mH,L_5pct_low_mH,L_5pct_high_mH,L_10pct_low_mH,L_10pct_high_mH,Best_C_nF,C_5pct_low_nF,C_5pct_high_nF,C_10pct_low_nF,C_10pct_high_nF,Min_RMSE
22,34.46377874375271,34.46893787575151,34.46893787575151,34.46893787575151,34.46893787575151,10.700014064738566,10.681362725450901,10.711422845691382,10.681362725450901,10.741482965931862,242.22764546406114,241.88376753507012,242.48496993987973,241.28256513026054,243.08617234468934,0.0032817033027914277
47,47.8611383312475,47.69539078156313,48.09619238476954,47.294589178356716,48.496993987975955,12.4645884276732,12.424849699398797,12.51503006012024,12.394789579158317,12.545090180360722,206.0328934452491,205.21042084168337,207.01402805611224,204.60921843687376,207.01402805611224,0.005208442636429682
100,55.43656781851544,54.90981963927856,55.71142284569139,54.90981963927856,56.1122244488978,12.410818704311378,12.334669338677353,12.48496993987976,12.274549098196392,12.545090180360722,206.16933047483838,204.60921843687376,207.61523046092182,204.0080160320641,208.21643286573146,0.006164423617606907
150,62.06108637869283,61.322645290581164,62.92585170340681,60.92184368737475,63.32665330661323,12.85678075011763,12.695390781563125,13.026052104208416,12.605210420841683,13.086172344689377,201.03060516678647,198.59719438877755,203.4068136272545,197.3947895791583,204.60921843687376,0.008529024654654807
200,67.51736414244768,66.93386773547094,67.73547094188378,66.93386773547094,68.13627254509018,12.414916036970883,12.304609218436873,12.51503006012024,12.244488977955912,12.575150300601202,208.66483266927642,207.01402805611224,210.0200400801603,206.4128256513026,211.22244488977955,0.004510886828577383
270,33.94745343268128,33.66733466933868,34.46893787575151,33.26653306613227,34.46893787575151,11.03479067004709,10.921843687374748,11.162324649298597,10.861723446893786,11.22244488977956,228.82601728175516,226.85370741482964,230.46092184368737,226.25250501002003,231.6633266533066,0.0046662463294788485
330,32.58081556077325,32.46492985971944,32.86573146292585,32.06412825651303,33.26653306613227,11.337683209288347,11.22244488977956,11.432865731462925,11.162324649298597,11.492985971943888,225.76495610028522,224.44889779559117,227.45490981963928,223.24649298597194,228.05611222444887,0.00353835938432015
470,35.53812783339757,34.46893787575151,36.47294589178357,34.06813627254509,36.87374749498998,10.629945858980154,10.260521042084168,11.012024048096192,10.080160320641282,11.162324649298597,235.53910586845973,231.06212424849699,240.08016032064126,229.25851703406815,242.48496993987973,0.006389677426338204
510,34.23116649123438,34.06813627254509,34.46893787575151,33.66733466933868,34.86973947895792,11.404939197451352,11.28256513026052,11.523046092184368,11.192384769539078,11.613226452905812,229.43528520396558,228.05611222444887,231.06212424849699,227.45490981963928,231.6633266533066,0.0022926489058780085
